"Y","Objective","Error_Metric","Rounds","Booster","LM_Lambda","LM_Alpha","LM_Lambda_Bias","Eta","Max_Depth","Subsample","Colsample_bytree","Colsample_bylevel","Error"
"WHL_PEAK_KIPS","reg:linear","mae",15,"gbtree",0,0,0,0.9,6,0.5,0.7,0.9,7.2104228
"WHL_PEAK_KIPS","reg:linear","mae",5,"gbtree",0,0,0,0.9,6,0.5,0.9,0.5,7.1999828
"WHL_PEAK_KIPS","reg:linear","mae",10,"gbtree",0,0,0,0.9,6,0.5,0.9,0.7,7.2295894
"WHL_PEAK_KIPS","reg:linear","mae",15,"gbtree",0,0,0,0.9,6,0.5,0.9,0.9,7.2350994
"WHL_PEAK_KIPS","reg:linear","mae",5,"gbtree",0,0,0,0.9,6,0.7,0.5,0.5,7.2487418
"WHL_PEAK_KIPS","reg:linear","mae",10,"gbtree",0,0,0,0.9,6,0.7,0.5,0.7,7.1615548
"WHL_PEAK_KIPS","reg:linear","mae",15,"gbtree",0,0,0,0.9,6,0.7,0.5,0.9,7.077873
"WHL_PEAK_KIPS","reg:linear","mae",5,"gbtree",0,0,0,0.9,6,0.7,0.7,0.5,7.3638102
"WHL_PEAK_KIPS","reg:linear","mae",10,"gbtree",0,0,0,0.9,6,0.7,0.7,0.7,7.1890204
"WHL_PEAK_KIPS","reg:linear","mae",15,"gbtree",0,0,0,0.9,6,0.7,0.7,0.9,7.1814072
"WHL_PEAK_KIPS","reg:linear","mae",5,"gbtree",0,0,0,0.9,6,0.7,0.9,0.5,7.2127532
"WHL_PEAK_KIPS","reg:linear","mae",10,"gbtree",0,0,0,0.9,6,0.7,0.9,0.7,7.1389774
"WHL_PEAK_KIPS","reg:linear","mae",15,"gbtree",0,0,0,0.9,6,0.7,0.9,0.9,7.0446744
"WHL_PEAK_KIPS","reg:linear","mae",5,"gbtree",0,0,0,0.9,6,0.9,0.5,0.5,7.1727644
"WHL_PEAK_KIPS","reg:linear","mae",10,"gbtree",0,0,0,0.9,6,0.9,0.5,0.7,7.3140366
"WHL_PEAK_KIPS","reg:linear","mae",15,"gbtree",0,0,0,0.9,6,0.9,0.5,0.9,7.2052872
"WHL_PEAK_KIPS","reg:linear","mae",5,"gbtree",0,0,0,0.9,6,0.9,0.7,0.5,7.1985802
"WHL_PEAK_KIPS","reg:linear","mae",10,"gbtree",0,0,0,0.9,6,0.9,0.7,0.7,7.2251892
"WHL_PEAK_KIPS","reg:linear","mae",15,"gbtree",0,0,0,0.9,6,0.9,0.7,0.9,7.0720836
"WHL_PEAK_KIPS","reg:linear","mae",5,"gbtree",0,0,0,0.9,6,0.9,0.9,0.5,7.0424686
"WHL_PEAK_KIPS","reg:linear","mae",10,"gbtree",0,0,0,0.9,6,0.9,0.9,0.7,6.9805322
"WHL_PEAK_KIPS","reg:linear","mae",15,"gbtree",0,0,0,0.9,6,0.9,0.9,0.9,7.0003286
"WHL_PEAK_KIPS","reg:linear","mae",5,"gbtree",0,0,0,0.9,8,0.5,0.5,0.5,7.4790048
"WHL_PEAK_KIPS","reg:linear","mae",10,"gbtree",0,0,0,0.9,8,0.5,0.5,0.7,7.339917
"WHL_PEAK_KIPS","reg:linear","mae",15,"gbtree",0,0,0,0.9,8,0.5,0.5,0.9,7.4086926
"WHL_PEAK_KIPS","reg:linear","mae",5,"gbtree",0,0,0,0.9,8,0.5,0.7,0.5,7.2712684
"WHL_PEAK_KIPS","reg:linear","mae",10,"gbtree",0,0,0,0.9,8,0.5,0.7,0.7,7.2268272
"WHL_PEAK_KIPS","reg:linear","mae",15,"gbtree",0,0,0,0.9,8,0.5,0.7,0.9,7.1341462
"WHL_PEAK_KIPS","reg:linear","mae",5,"gbtree",0,0,0,0.9,8,0.5,0.9,0.5,7.2051938
"WHL_PEAK_KIPS","reg:linear","mae",10,"gbtree",0,0,0,0.9,8,0.5,0.9,0.7,7.2866894
"WHL_PEAK_KIPS","reg:linear","mae",15,"gbtree",0,0,0,0.9,8,0.5,0.9,0.9,7.2802434
"WHL_PEAK_KIPS","reg:linear","mae",5,"gbtree",0,0,0,0.9,8,0.7,0.5,0.5,7.3066026
"WHL_PEAK_KIPS","reg:linear","mae",10,"gbtree",0,0,0,0.9,8,0.7,0.5,0.7,7.1330996
"WHL_PEAK_KIPS","reg:linear","mae",15,"gbtree",0,0,0,0.9,8,0.7,0.5,0.9,7.203788
"WHL_PEAK_KIPS","reg:linear","mae",5,"gbtree",0,0,0,0.9,8,0.7,0.7,0.5,7.231052
"WHL_PEAK_KIPS","reg:linear","mae",10,"gbtree",0,0,0,0.9,8,0.7,0.7,0.7,7.1547476
"WHL_PEAK_KIPS","reg:linear","mae",15,"gbtree",0,0,0,0.9,8,0.7,0.7,0.9,7.0883382
"WHL_PEAK_KIPS","reg:linear","mae",5,"gbtree",0,0,0,0.9,8,0.7,0.9,0.5,7.191572
"WHL_PEAK_KIPS","reg:linear","mae",10,"gbtree",0,0,0,0.9,8,0.7,0.9,0.7,7.120545
"WHL_PEAK_KIPS","reg:linear","mae",15,"gbtree",0,0,0,0.9,8,0.7,0.9,0.9,7.0567384
"WHL_PEAK_KIPS","reg:linear","mae",5,"gbtree",0,0,0,0.9,8,0.9,0.5,0.5,7.1919366
"WHL_PEAK_KIPS","reg:linear","mae",10,"gbtree",0,0,0,0.9,8,0.9,0.5,0.7,7.0496162
"WHL_PEAK_KIPS","reg:linear","mae",15,"gbtree",0,0,0,0.9,8,0.9,0.5,0.9,7.3507496
"WHL_PEAK_KIPS","reg:linear","mae",5,"gbtree",0,0,0,0.9,8,0.9,0.7,0.5,6.9631948
"WHL_PEAK_KIPS","reg:linear","mae",10,"gbtree",0,0,0,0.9,8,0.9,0.7,0.7,7.029891
"WHL_PEAK_KIPS","reg:linear","mae",15,"gbtree",0,0,0,0.9,8,0.9,0.7,0.9,6.9773636
"WHL_PEAK_KIPS","reg:linear","mae",5,"gbtree",0,0,0,0.9,8,0.9,0.9,0.5,7.0718276
"WHL_PEAK_KIPS","reg:linear","mae",10,"gbtree",0,0,0,0.9,8,0.9,0.9,0.7,7.1820282
"WHL_PEAK_KIPS","reg:linear","mae",15,"gbtree",0,0,0,0.9,8,0.9,0.9,0.9,6.9235546
"WHL_PEAK_KIPS","reg:linear","mae",5,"gbtree",0,0,0,1,4,0.5,0.5,0.5,6.645385
"WHL_PEAK_KIPS","reg:linear","mae",10,"gbtree",0,0,0,1,4,0.5,0.5,0.7,6.7358602
"WHL_PEAK_KIPS","reg:linear","mae",15,"gbtree",0,0,0,1,4,0.5,0.5,0.9,6.702867
"WHL_PEAK_KIPS","reg:linear","mae",5,"gbtree",0,0,0,1,4,0.5,0.7,0.5,6.7412708
"WHL_PEAK_KIPS","reg:linear","mae",10,"gbtree",0,0,0,1,4,0.5,0.7,0.7,6.4699778
